start time [m]; Treppe client 1
0,6; 0,15
0,917; 0,229
1,1; 0,25
1,64; 0,25
1,88; 0,25
2,058; 0,265
2,483; 0,371
2,637; 0,409
2,744; 0,436
3,03; 0,5
3,15; 0,5
3,24; 0,5
3,51; 0,5
3,63; 0,5
3,72; 0,5
3,99; 0,5
4,107; 0,527
4,191; 0,548
4,425; 0,606
4,522; 0,63
4,592; 0,648
4,793; 0,698
4,877; 0,719
4,939; 0,735
5,12; 0,75
5,2; 0,75
5,26; 0,75
5,44; 0,75
5,52; 0,75
5,58; 0,75
5,76; 0,75
5,84; 0,75
5,9; 0,75
6,079; 0,77
6,156; 0,789
6,212; 0,803
6,376; 0,844
6,447; 0,862
6,499; 0,875
6,65; 0,912
6,715; 0,929
6,763; 0,941
6,904; 0,976
6,965; 0,991
7,01; 1
7,145; 1
7,205; 1
7,25; 1
7,385; 1
7,445; 1
7,49; 1
7,625; 1
7,685; 1
7,73; 1
7,865; 1
7,925; 1
7,97; 1
8,111; 0,889
8,181; 0,819
8,238; 0,762
8,443; 0,557
8,564; 0,436
8,735; 0,265
0; 0
0; 0
0; 0
0; 0
0; 0
0; 0
0; 0
0; 0
0; 0
0; 0
0; 0
0; 0
0; 0
0; 0
0; 0
0; 0
0; 0
0; 0
0; 0
0; 0
0; 0
0; 0
0; 0
0; 0
0; 0
0; 0
0; 0
0; 0
0; 0
0; 0
0; 0
0; 0
0; 0
0; 0
0; 0
0; 0
0; 0
0; 0
0; 0
0; 0
0; 0
0; 0
0; 0
0; 0
0; 0
0; 0
0; 0
0; 0
0; 0
0; 0
0; 0
0; 0
0; 0
0; 0
0; 0
0; 0
0; 0
0; 0
0; 0
0; 0
0; 0
